Date and time;Jeníšov.Retail.RP1/UR371.Měření UR371.Činný výkon celkový [ kW];Jeníšov.Retail.RP1/UR371.Měření UR371.Jalový výkon celkový [ kVAr];Jeníšov.Retail.RP1/UR372.Měření UR372.Činný výkon celkový [ kW];Jeníšov.Retail.RP1/UR372.Měření UR372.Jalový výkon celkový [ kVAr];Jeníšov.TS KV_1437.AXY1.Elektroměr LDS.Činný výkon celkový [ kW];Jeníšov.TS KV_1437.AXY1.Elektroměr LDS.Jalový výkon celkový [ kVAr];Jeníšov.TS KV_1437.RH1.Měření KFC.Činný výkon celkový [ kW];Jeníšov.TS KV_1437.RH1.Měření KFC.Jalový výkon celkový [ kVAr];Jeníšov.TS KV_1437.RH1.Měření UR367.Činný výkon celkový [ kW];Jeníšov.TS KV_1437.RH1.Měření UR367.Jalový výkon celkový [ kVAr];Jeníšov.TS KV_1437.RH1.Měření UR368 master.Činný výkon celkový [ kW];Jeníšov.TS KV_1437.RH1.Měření UR368 master.Jalový výkon celkový [ kVAr];Jeníšov.TS KV_1437.RH1.Měření UR368 slave.Činný výkon celkový [ kW];Jeníšov.TS KV_1437.RH1.Měření UR368 slave.Jalový výkon celkový [ kVAr];Jeníšov.TS KV_1437.RH1.Měření UR369.Činný výkon celkový [ kW];Jeníšov.TS KV_1437.RH1.Měření UR369.Jalový výkon celkový [ kVAr];Jeníšov.TS KV_1437.RH1.Měření UR370.Činný výkon celkový [ kW];Jeníšov.TS KV_1437.RH1.Měření UR370.Jalový výkon celkový [ kVAr];Jeníšov.TS KV_1437.RH1.Měření UR388 master.Činný výkon celkový [ kW];Jeníšov.TS KV_1437.RH1.Měření UR388 master.Jalový výkon celkový [ kVAr]
28.08.2025 23:00:00;0,000;-5,700;0,120;-5,700;15,448;-61,794;11,016;1,858;0,060;-8,940;0,120;-8,940;0,000;-8,880;0,060;-8,820;0,060;-8,760;0,060;-8,820
28.08.2025 23:15:00;0,000;-5,700;0,120;-5,700;11,201;-59,347;7,201;3,748;0,060;-9,000;0,120;-8,940;0,000;-8,940;0,060;-8,820;0,060;-8,820;0,060;-8,820
28.08.2025 23:30:00;0,000;-5,700;0,120;-5,700;9,032;-62,588;5,346;0,841;0,060;-8,940;0,120;-8,940;0,000;-8,880;0,060;-8,820;0,060;-8,760;0,060;-8,820
28.08.2025 23:45:00;0,000;-5,700;0,120;-5,700;7,229;-63,073;3,770;0,460;0,060;-8,940;0,060;-8,940;0,000;-8,880;0,060;-8,820;0,060;-8,760;0,060;-8,760
29.08.2025 0:00:00;0,000;-5,700;0,120;-5,700;8,521;-61,435;4,947;1,655;0,060;-9,000;0,120;-8,940;0,000;-8,940;0,060;-8,820;0,060;-8,760;0,060;-8,820
29.08.2025 0:15:00;0,000;-5,700;0,120;-5,700;9,695;-59,598;5,948;3,460;0,060;-8,940;0,120;-8,940;0,000;-8,880;0,060;-8,820;0,060;-8,760;0,060;-8,820
29.08.2025 0:30:00;0,000;-5,700;0,120;-5,700;7,524;-62,438;4,049;1,126;0,060;-8,940;0,120;-8,940;0,000;-8,940;0,060;-8,820;0,060;-8,760;0,060;-8,820
29.08.2025 0:45:00;0,000;-5,700;0,120;-5,700;7,484;-62,398;4,045;1,123;0,060;-8,940;0,060;-8,940;0,000;-8,880;0,060;-8,820;0,060;-8,760;0,060;-8,760
29.08.2025 1:00:00;0,000;-5,700;0,120;-5,700;7,368;-62,573;3,913;0,700;0,060;-8,940;0,120;-8,940;0,000;-8,880;0,060;-8,760;0,060;-8,760;0,060;-8,760
29.08.2025 1:15:00;0,000;-5,700;0,120;-5,700;7,262;-63,613;4,304;0,867;0,060;-9,000;0,120;-8,940;0,000;-8,940;0,060;-8,820;0,060;-8,760;0,060;-8,820
